"sorszam","telnev","iskola","egyutt","neme","szulev","htfovi","neme2","szulev2","szulho2","htfovi2","neme3","szulev3","szulho3","htfovi3","neme4","szulev4","szulho4","htfovi4","neme5","szulev5","szulho5","htfovi5","neme6","szulev6","szulho6","htfovi6","csalall","dolg","agazat","htnetto","d9","d10","d11"
1719,"Lábatlan                 ","Szakközépiskolai érettségi; szakképzést követő érettségi","4","Nő","1976","Házastársa","Férfi","1976","8","Családfő","Nő","2011","1","Gyermeke","Nő","2013","3","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Kereskedelem, gépjárműjavítás",NA,"lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
1720,"Lábatlan                 ","Szakmunkásképző; szakképzés érettségi nélkül","2","Nő","1988","Élettársa","Férfi","1986","8","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Feldolgozóipar",NA,"lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
1721,"Lábatlan                 ","Szakközépiskolai érettségi; szakképzést követő érettségi","4","Férfi","1974","Családfő","Nő","1980","2","Élettársa","Férfi","2005","8","Gyermeke","Nő","2009","5","Nem rokon",NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Építőipar",NA,"lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
1723,"Lábatlan                 ","Szakmunkásképző; szakképzés érettségi nélkül","5","Férfi","1974","Családfő","Nő","1970","4","Házastársa","Nő","1997","9","Gyermeke","Férfi","1972","6","Egyéb rokon","Nő","2006","12","Gyermeke",NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Vízellátás, szennyvíz gyűjtése, kezelése, hulladékgazdálkodás, szennyeződésmentesítés",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1726,"Lábatlan                 ","8 általános","Egyedül él                    ","Férfi","1958","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Bányászat, kőfejtés",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1728,"Lábatlan                 ","Gimnáziumi érettségi","2","Férfi","1954","Családfő","Nő","1951","8","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Feldolgozóipar",NA,"lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
1729,"Lábatlan                 ","8 általános","4","Férfi","1975","Családfő","Nő","1975","11","Házastársa","Nő","2000","5","Gyermeke","Nő","2001","12","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás",NA,"lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
1730,"Lábatlan                 ","Akkreditált felsőfokú szakképzés; felsőfokú technikum","3","Nő","1966","Családfő","Férfi","2004","5","Gyermeke","Férfi","2012","3","Egyéb rokon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Közigazgatás, védelem; kötelező társadalombiztosítás",NA,"lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
1733,"Oroszlány                ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Férfi","1958","Családfő","Nő","1965","3","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Építőipar",NA,"többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
1735,"Oroszlány                ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Férfi","1973","Családfő","Nő","1982","7","Élettársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Egyéb szolgáltatás",NA,"többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
1736,"Oroszlány                ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Férfi","1956","Családfő","Nő","1961","3","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Pénzügyi, biztosítási tevékenység",NA,"többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
1738,"Oroszlány                ","Szakmunkásképző; szakképzés érettségi nélkül","3","Nő","1972","Házastársa","Férfi","1970","11","Családfő","Nő","2009","8","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Kereskedelem, gépjárműjavítás",NA,"többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
1739,"Oroszlány                ","Gimnáziumi érettségi","Egyedül él                    ","Férfi","1960","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Szállítás, raktározás",NA,"többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
1741,"Oroszlány                ","Gimnáziumi érettségi","3","Nő","1970","Házastársa","Férfi","1969","2","Családfő","Férfi","1997","6","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Kereskedelem, gépjárműjavítás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1742,"Oroszlány                ","Szakközépiskolai érettségi; szakképzést követő érettségi","4","Nő","1994","Gyermeke","Férfi","1968","5","Családfő","Nő","1969","2","Házastársa","Férfi","2003","9","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Szálláshely-szolgáltatás, vendéglátás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1743,"Oroszlány                ","Gimnáziumi érettségi","2","Nő","1965","Házastársa","Férfi","1966","3","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Adminisztratív és szolgáltatást támogató tevékenység",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1744,"Oroszlány                ","Akkreditált felsőfokú szakképzés; felsőfokú technikum","2","Nő","1966","Házastársa","Férfi","1960","10","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Humán-egészségügyi, szociális ellátás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1745,"Oroszlány                ","8 általános","Egyedül él                    ","Férfi","1963","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Munkanélküli","Építőipar",NA,"többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
1746,"Oroszlány                ","Szakmunkásképző; szakképzés érettségi nélkül","3","Nő","1970","Házastársa","Férfi","1968","10","Családfő","Férfi","1996","6","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Villamosenergia-, gáz-, gőzellátás, légkondicionálás",NA,"többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
1747,"Oroszlány                ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Férfi","1956","Családfő","Nő","1958","3","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Kereskedelem, gépjárműjavítás",NA,"többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
1748,"Oroszlány                ","Szakközépiskolai érettségi; szakképzést követő érettségi","3","Nő","1994","Gyermeke","Nő","1965","1","Házastársa","Férfi","1964","12","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Szálláshely-szolgáltatás, vendéglátás",NA,"többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
1749,"Oroszlány                ","Szakközépiskolai érettségi; szakképzést követő érettségi","3","Nő","1973","Házastársa","Férfi","1969","10","Családfő","Nő","2000","12","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Feldolgozóipar",NA,"többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
1750,"Tarján                   ","Főiskola / BA / BSc","4","Nő","1973","Házastársa","Férfi","1968","7","Családfő","Férfi","2000","1","Gyermeke","Nő","2001","5","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Oktatás","5e+05","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1751,"Tarján                   ","Szakközépiskolai érettségi; szakképzést követő érettségi","3","Nő","1990","Gyermeke","Férfi","1970","10","Családfő","Nő","1973","4","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Pénzügyi, biztosítási tevékenység","450000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1753,"Tarján                   ","Szakmunkásképző; szakképzés érettségi nélkül","4","Férfi","1973","Családfő","Nő","1976","12","Házastársa","Férfi","2003","6","Gyermeke","Férfi","2006","1","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Építőipar",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1754,"Tarján                   ","Gimnáziumi érettségi","2","Nő","1996","Gyermeke","Nő","1969","4","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Humán-egészségügyi, szociális ellátás","280000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1757,"Tarján                   ","Szakközépiskolai érettségi; szakképzést követő érettségi","4","Nő","1960","Házastársa","Férfi","1957","1","Családfő","Nő","1984","3","Gyermeke","Férfi","1984","1","Egyéb rokon",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Kereskedelem, gépjárműjavítás","480000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1759,"Tarján                   ","Szakmunkásképző; szakképzés érettségi nélkül","2","Férfi","1959","Családfő","Nő","1961","12","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Építőipar",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1760,"Tarján                   ","8 általános","3","Nő","1979","Családfő","Férfi","2003","6","Gyermeke","Nő","2010","8","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Oktatás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1762,"Tarján                   ","Főiskola / BA / BSc","2","Nő","1959","Házastársa","Férfi","1954","10","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Adminisztratív és szolgáltatást támogató tevékenység",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1763,"Tarján                   ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","2","Férfi","1964","Családfő","Nő","1965","4","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Építőipar",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1764,"Tarján                   ","Szakmunkásképző; szakképzés érettségi nélkül","2","Férfi","1962","Családfő","Nő","1964","9","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Munkanélküli","Feldolgozóipar",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1767,"Tatabánya                ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","2","Nő","1961","Házastársa","Férfi","1959","6","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás","410000","többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
1768,"Tatabánya                ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","Egyedül él                    ","Nő","1967","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Humán-egészségügyi, szociális ellátás","165000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
1769,"Tatabánya                ","Szakmunkásképző; szakképzés érettségi nélkül","2","Férfi","1956","Családfő","Nő","1958","6","Élettársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Feldolgozóipar","340000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
1770,"Tatabánya                ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","3","Férfi","1976","Családfő","Nő","1968","7","Házastársa","Nő","2005","6","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Kereskedelem, gépjárműjavítás","430000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
1771,"Tatabánya                ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","Egyedül él                    ","Nő","1966","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas, de külön él","Alkalmazott","Feldolgozóipar","2e+05","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
1776,"Tatabánya                ","Szakmunkásképző; szakképzés érettségi nélkül","Egyedül él                    ","Férfi","1974","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Szállítás, raktározás","190000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
1777,"Tatabánya                ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","2","Férfi","1959","Családfő","Nő","1964","3","Élettársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Villamosenergia-, gáz-, gőzellátás, légkondicionálás","420000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1780,"Tatabánya                ","8 általános","5","Nő","1982","Házastársa","Férfi","1974","4","Családfő","Nő","2005","5","Gyermeke","Férfi","2010","2","Gyermeke","Férfi","2013","3","Gyermeke",NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Oktatás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1781,"Tatabánya                ","Főiskola / BA / BSc","3","Férfi","1982","Családfő","Nő","1980","12","Házastársa","Nő","2009","5","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Oktatás","360000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
1782,"Tatabánya                ","8 általános","2","Férfi","1978","Gyermeke","Nő","1953","4","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Feldolgozóipar","250000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
1783,"Tatabánya                ","Főiskola / BA / BSc","4","Férfi","1967","Családfő","Nő","1967","5","Házastársa","Nő","1998","8","Gyermeke","Nő","1947","2","Szülője, anyósa, apósa",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Közigazgatás, védelem; kötelező társadalombiztosítás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1786,"Tatabánya                ","Szakmunkásképző; szakképzés érettségi nélkül","2","Nő","1994","Élettársa","Férfi","1994","1","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Feldolgozóipar","220000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
1787,"Tatabánya                ","Akkreditált felsőfokú szakképzés; felsőfokú technikum","2","Férfi","1982","Családfő","Nő","1989","6","Élettársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Művészet, szórakoztatás, szabadidő",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1789,"Tatabánya                ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","2","Férfi","1991","Gyermeke","Nő","1965","5","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Feldolgozóipar","350000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1792,"Tatabánya                ","Akkreditált felsőfokú szakképzés; felsőfokú technikum","2","Nő","1961","Családfő","Nő","1940","9","Szülője, anyósa, apósa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Özvegy","Alkalmazott","Villamosenergia-, gáz-, gőzellátás, légkondicionálás","350000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1793,"Balassagyarmat           ","Gimnáziumi érettségi","Egyedül él                    ","Nő","1955","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas, de külön él","Alkalmazott","Egyéb szolgáltatás","105000","többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
1795,"Balassagyarmat           ","Szakközépiskolai érettségi; szakképzést követő érettségi","Egyedül él                    ","Férfi","1965","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Feldolgozóipar","125000","többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
1796,"Balassagyarmat           ","Főiskola / BA / BSc","Egyedül él                    ","Férfi","1989","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Feldolgozóipar","111800","többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
1797,"Balassagyarmat           ","Gimnáziumi érettségi","3","Nő","1963","Házastársa","Férfi","1961","5","Családfő","Férfi","2003","8","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Adminisztratív és szolgáltatást támogató tevékenység","195000","többlakásos ház kerttel,","közműves ívóvízellátás","közműves szennyvízhálózat"
1798,"Balassagyarmat           ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","3","Férfi","1988","Gyermeke","Nő","1966","6","Családfő","Nő","1987","7","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Feldolgozóipar","246000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1799,"Balassagyarmat           ","Gimnáziumi érettségi","3","Nő","1988","Gyermeke","Nő","1968","5","Családfő","Férfi","1990","8","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Kereskedelem, gépjárműjavítás","248000","többlakásos ház kert nélkül","közműves ívóvízellátás","közműves szennyvízhálózat"
1801,"Bátonyterenye            ","Szakmunkásképző; szakképzés érettségi nélkül","6","Férfi","1990","Családfő","Nő","1992","3","Házastársa","Nő","2007","10","Gyermeke","Nő","2012","10","Gyermeke","Férfi","2013","11","Gyermeke","Férfi","2016","3","Gyermeke","Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás","160000","családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
1803,"Bátonyterenye            ","Szakmunkásképző; szakképzés érettségi nélkül","8","Férfi","1977","Családfő","Nő","1981","9","Házastársa","Férfi","1999","4","Gyermeke","Nő","2000","8","Gyermeke","Férfi","2001","12","Gyermeke","Férfi","2004","6","Gyermeke","Házas és együtt élnek","Alkalmazott","Feldolgozóipar",NA,"családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
1804,"Bátonyterenye            ","8 általános","Egyedül él                    ","Nő","1963","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Feldolgozóipar","80000","családi ház kerttel","saját ívóvíz kút","szennyvízgyűjtés a telken és szennyvíz szippantás"
1808,"Héhalom                  ","Gimnáziumi érettségi","3","Nő","1983","Gyermeke","Férfi","1962","3","Családfő","Nő","1962","7","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Válaszmegtagadó","Alkalmazott","Feldolgozóipar",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1810,"Héhalom                  ","8 általános","Egyedül él                    ","Férfi","1963","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Özvegy","Alkalmazott","Építőipar","120000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1812,"Héhalom                  ","8 általános","4","Nő","1969","Házastársa","Férfi","1967","1","Családfő","Nő","1938","12","Szülője, anyósa, apósa","Nő","2004","5","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1814,"Héhalom                  ","Szakmunkásképző; szakképzés érettségi nélkül","3","Nő","1986","Gyermeke","Férfi","1953","7","Családfő","Nő","1953","8","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Egyéb szolgáltatás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1816,"Héhalom                  ","Szakmunkásképző; szakképzés érettségi nélkül","5","Férfi","1961","Családfő","Nő","1960","10","Házastársa","Nő","1986","8","Gyermeke","Férfi","1980","6","Egyéb rokon","Nő","2014","8","Egyéb rokon",NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1818,"Héhalom                  ","Szakmunkásképző; szakképzés érettségi nélkül","2","Férfi","1962","Családfő","Nő","1968","9","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Mezőgazdaság, erdőgazdálkodás, halásza",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1820,"Héhalom                  ","Szakmunkásképző; szakképzés érettségi nélkül","5","Férfi","1974","Családfő","Nő","1979","2","Házastársa","Nő","2001","7","Gyermeke","Nő","2011","11","Gyermeke","Férfi","2015","12","Gyermeke",NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Feldolgozóipar",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1821,"Héhalom                  ","Szakmunkásképző; szakképzés érettségi nélkül","Egyedül él                    ","Férfi","1965","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Közigazgatás, védelem; kötelező társadalombiztosítás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1822,"Héhalom                  ","Gimnáziumi érettségi","4","Férfi","1967","Családfő","Nő","1969","5","Házastársa","Férfi","1993","1","Gyermeke","Nő","1996","9","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Építőipar",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1825,"Karancskeszi             ","8 általános","Egyedül él                    ","Nő","1965","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas, de külön él","Alkalmazott","Egyéb szolgáltatás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1826,"Karancskeszi             ","Főiskola / BA / BSc","Egyedül él                    ","Nő","1963","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Oktatás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1827,"Karancskeszi             ","8 általános","3","Nő","1984","Élettársa","Férfi","1982","10","Családfő","Nő","2014","2","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Szállítás, raktározás",NA,"családi ház kerttel","saját ívóvíz kút","szennyvízgyűjtés a telken és szennyvíz szippantás"
1830,"Karancskeszi             ","Szakközépiskolai érettségi; szakképzést követő érettségi","3","Nő","1986","Családfő","Nő","2006","9","Gyermeke","Nő","2013","1","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Munkanélküli","Egyéb szolgáltatás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1838,"Karancskeszi             ","8 általános","2","Nő","1972","Családfő","Nő","2000","11","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas, de külön él","Alkalmazott","Egyéb szolgáltatás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1839,"Karancsság               ","8 általános","2","Férfi","1968","Családfő","Nő","1969","11","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Munkanélküli","Építőipar","42000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
1840,"Karancsság               ","Kevesebb, mint 8 általános","5","Férfi","1971","Családfő","Nő","1977","9","Élettársa","Nő","2000","3","Gyermeke","Nő","2002","11","Gyermeke","Nő","2006","7","Gyermeke",NA,NA,NA,NA,"Élettárssal él","Munkanélküli","Építőipar","60000","családi ház kerttel","NV","közműves szennyvízhálózat"
1841,"Karancsság               ","8 általános","Egyedül él                    ","Nő","1967","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Oktatás","62000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
